資料序,季節,組別,date,Soil temperture,Soil  water content,ndvi,Relative humidity,Wind speed,Insolation,Temperature,Wind direction,Rainfall ,River flat area,PM10MAX,PM2.5,dustday
1,乾季,后里訓練,2015/1/1,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,49,1
2,乾季,,2015/1/2,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,45,1
3,乾季,,2015/1/3,s1,s1,s2,s2,s5,s2,s1,s1,s1,s4,s6_125_up,47,0
4,乾季,,2015/1/4,s1,s1,s2,s1,s5,s2,s1,s1,s1,s4,s6_125_up,51,0
5,乾季,,2015/1/5,s6,s5,s2,s1,s5,s7,s6,s1,s1,s4,s6_125_up,42,0
6,乾季,,2015/1/6,s5,s1,s2,s1,s5,s7,s5,s1,s1,s4,s6_125_up,79,0
7,乾季,,2015/1/7,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,57,1
8,乾季,,2015/1/8,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,39,1
9,乾季,,2015/1/9,s1,s1,s2,s1,s5,s2,s1,s1,s1,s4,s6_125_up,47,1
10,乾季,,2015/1/10,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,34,1
11,乾季,,2015/1/11,s6,s7,s2,s2,s5,s7,s6,s3,s1,s4,s6_125_up,36,0
12,乾季,,2015/1/12,s3,s7,s2,s1,s5,s7,s3,s1,s1,s4,s6_125_up,41,0
13,乾季,,2015/1/13,s7,s1,s2,s3,s4,s7,s6,s1,s1,s4,s6_125_up,57,0
14,乾季,,2015/1/14,s4,s1,s2,s1,s5,s7,s2,s1,s1,s4,s6_125_up,34,0
15,乾季,,2015/1/15,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,26,1
16,乾季,,2015/1/16,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,32,1
17,乾季,,2015/1/17,s1,s1,s2,s5,s5,s2,s1,s1,s1,s4,s6_125_up,43,1
18,乾季,,2015/1/18,s3,s1,s2,s5,s5,s7,s1,s1,s1,s4,s6_125_up,45,1
19,乾季,,2015/1/19,s1,s5,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,34,1
20,乾季,,2015/1/20,s3,s5,s2,s1,s4,s7,s2,s4,s1,s4,s6_125_up,84,0
21,乾季,,2015/1/21,s7,s5,s2,s1,s5,s7,s6,s3,s1,s4,s6_125_up,51,0
22,乾季,,2015/1/22,s7,s6,s2,s4,s5,s7,s5,s4,s1,s4,s6_125_up,91,1
23,乾季,,2015/1/23,s7,s6,s2,s4,s5,s7,s6,s1,s1,s4,s6_125_up,80,0
24,乾季,,2015/1/24,s1,s6,s2,s1,s5,s1,s1,s1,s2,s4,s6_125_up,82,0
25,乾季,,2015/1/25,s1,s5,s2,s3,s5,s7,s1,s1,s1,s4,s6_125_up,100,0
26,乾季,,2015/1/26,s1,s6,s2,s2,s4,s7,s1,s1,s1,s4,s6_125_up,69,0
27,乾季,,2015/1/27,s1,s6,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,61,0
28,乾季,,2015/1/28,s1,s6,s2,s5,s4,s2,s1,s1,s1,s4,s6_125_up,33,1
29,乾季,,2015/1/29,s1,s6,s2,s1,s5,s3,s1,s1,s1,s4,s6_125_up,41,1
30,乾季,,2015/1/30,s1,s6,s2,s1,s5,s1,s1,s1,s1,s4,s6_125_up,32,1
31,乾季,,2015/1/31,s7,s6,s2,s2,s4,s7,s6,s1,s1,s4,s6_125_up,53,1
32,乾季,,2015/2/1,s7,s6,s2,s6,s1,s2,s4,s1,s4,s4,s6_125_up,65,1
33,乾季,,2015/2/2,s1,s5,s2,s5,s1,s7,s1,s1,s1,s4,s6_125_up,79,0
34,乾季,,2015/2/3,s1,s5,s2,s5,s4,s2,s1,s1,s1,s4,s6_125_up,56,1
35,乾季,,2015/2/4,s1,s6,s2,s1,s2,s7,s1,s1,s1,s4,s6_125_up,31,1
36,乾季,,2015/2/5,s1,s6,s2,s3,s1,s7,s1,s1,s1,s4,s6_125_up,93,0
37,乾季,,2015/2/8,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s6_125_up,62,1
38,乾季,,2015/2/9,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s4_75_100,20,0
39,乾季,,2015/2/10,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s5_100_125,52,0
40,乾季,,2015/2/11,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s4_75_100,58,0
41,乾季,,2015/2/12,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s4_75_100,58,0
42,乾季,,2015/2/13,s1,s1,s2,s1,s4,s1,s1,s1,s1,s4,s6_125_up,78,0
43,乾季,,2015/2/14,s1,s1,s2,s5,s5,s2,s1,s1,s1,s4,s5_100_125,86,0
44,乾季,,2015/2/15,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s5_100_125,96,0
45,乾季,,2015/2/16,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s4_75_100,72,0
46,乾季,,2015/2/17,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s3_50_75,56,0
47,乾季,,2015/2/18,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s4_75_100,64,0
48,乾季,,2015/2/19,s1,s1,s2,s2,s2,s2,s1,s1,s5,s4,s5_100_125,42,0
49,乾季,,2015/2/20,s1,s3,s2,s5,s5,s7,s1,s1,s4,s4,s3_50_75,52,0
50,乾季,,2015/2/21,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s3_50_75,51,0
51,乾季,,2015/2/22,s1,s1,s2,s5,s5,s7,s1,s1,s1,s4,s5_100_125,44,0
52,乾季,,2015/2/23,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s5_100_125,63,0
53,乾季,,2015/2/24,s1,s1,s2,s1,s5,s6,s1,s1,s1,s4,s5_100_125,27,0
54,乾季,,2015/2/25,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s5_100_125,58,0
55,乾季,,2015/2/26,s1,s1,s2,s2,s2,s3,s1,s4,s1,s4,s6_125_up,68,0
56,乾季,,2015/2/27,s1,s1,s2,s5,s5,s2,s1,s1,s1,s4,s4_75_100,59,0
57,乾季,,2015/2/28,s1,s1,s2,s1,s3,s7,s1,s2,s1,s4,s6_125_up,49,0
58,乾季,,2015/3/1,s1,s1,s2,s1,s3,s7,s1,s1,s1,s4,s6_125_up,39,1
59,乾季,,2015/3/2,s1,s6,s2,s1,s1,s1,s1,s1,s1,s4,s6_125_up,57,0
60,乾季,,2015/3/3,s1,s3,s2,s5,s2,s1,s1,s1,s1,s4,s4_75_100,77,0
61,乾季,,2015/3/4,s1,s3,s2,s6,s5,s1,s1,s1,s1,s4,s4_75_100,92,0
62,乾季,,2015/3/5,s1,s1,s2,s3,s5,s2,s1,s1,s1,s4,s3_50_75,52,0
63,乾季,,2015/3/6,s1,s1,s2,s5,s5,s2,s1,s1,s1,s4,s3_50_75,43,0
64,乾季,,2015/3/7,s1,s1,s2,s6,s5,s1,s1,s1,s1,s4,s3_50_75,64,0
65,乾季,,2015/3/8,s1,s1,s2,s4,s5,s7,s1,s1,s1,s4,s4_75_100,56,0
66,乾季,,2015/3/9,s1,s1,s2,s2,s5,s7,s1,s1,s1,s4,s5_100_125,57,0
67,乾季,,2015/3/10,s1,s1,s2,s5,s1,s3,s1,s4,s1,s4,s6_125_up,33,0
68,乾季,,2015/3/11,s1,s1,s2,s6,s5,s1,s1,s1,s1,s4,s4_75_100,24,0
69,乾季,,2015/3/12,s1,s1,s2,s6,s5,s1,s1,s1,s1,s4,s3_50_75,41,0
70,乾季,,2015/3/13,s1,s1,s2,s2,s5,s2,s1,s1,s1,s4,s4_75_100,54,0
71,乾季,,2015/3/14,s1,s1,s2,s5,s3,s2,s1,s1,s1,s4,s4_75_100,81,0
72,乾季,,2015/3/15,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s2_25_50,54,0
73,乾季,,2015/3/16,s1,s1,s2,s1,s5,s2,s1,s1,s1,s4,s5_100_125,68,0
74,乾季,,2015/3/17,s1,s1,s2,s1,s2,s7,s1,s1,s1,s4,s4_75_100,50,0
75,乾季,,2015/3/18,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s5_100_125,27,0
76,乾季,,2015/3/19,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s6_125_up,56,0
77,乾季,,2015/3/20,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s6_125_up,92,0
78,乾季,,2015/3/21,s1,s1,s2,s1,s1,s2,s1,s1,s4,s4,s6_125_up,70,1
79,乾季,,2015/3/22,s1,s4,s2,s5,s5,s7,s1,s1,s5,s4,s5_100_125,53,0
80,乾季,,2015/3/23,s1,s3,s2,s1,s3,s7,s1,s1,s1,s4,s5_100_125,64,0
81,乾季,,2015/3/24,s1,s1,s2,s1,s5,s7,s1,s1,s1,s4,s5_100_125,23,0
82,乾季,,2015/3/25,s1,s1,s2,s1,s4,s7,s1,s1,s1,s4,s4_75_100,20,0
83,乾季,,2015/3/26,s1,s1,s2,s4,s1,s2,s1,s1,s1,s4,s4_75_100,30,0
84,乾季,,2015/3/27,s1,s1,s2,s1,s1,s2,s1,s3,s4,s4,s4_75_100,32,0
85,乾季,,2015/3/28,s1,s1,s2,s5,s4,s3,s1,s1,s1,s4,s4_75_100,48,0
86,乾季,,2015/3/29,s1,s1,s2,s6,s1,s1,s1,s4,s1,s4,s5_100_125,57,0
87,乾季,,2015/3/30,s1,s4,s2,s6,s1,s7,s1,s1,s4,s4,s3_50_75,77,0
88,乾季,,2015/3/31,s1,s3,s2,s6,s1,s2,s1,s1,s1,s4,s5_100_125,52,0
89,乾季,,2015/4/1,s1,s1,s2,s6,s4,s2,s1,s1,s1,s4,s5_100_125,31,0
90,乾季,,2015/4/2,s1,s1,s2,s6,s5,s2,s1,s1,s1,s4,s5_100_125,35,0
91,乾季,,2015/4/3,s1,s1,s2,s5,s4,s7,s1,s1,s1,s4,s4_75_100,42,0
92,乾季,,2015/4/4,s1,s1,s2,s5,s5,s7,s1,s1,s1,s4,s3_50_75,39,0
93,乾季,,2015/4/5,s1,s1,s2,s4,s1,s1,s1,s1,s1,s4,s5_100_125,46,0
94,乾季,,2015/4/6,s3,s1,s2,s1,s3,s7,s1,s1,s1,s4,s5_100_125,51,0
95,乾季,,2015/4/7,s1,s1,s2,s5,s5,s1,s1,s1,s1,s4,s6_125_up,20,1
96,乾季,,2015/4/8,s1,s1,s2,s5,s5,s2,s1,s1,s1,s4,s4_75_100,16,0
97,乾季,,2015/4/9,s1,s1,s2,s5,s5,s3,s1,s1,s1,s4,s4_75_100,35,0
98,乾季,,2015/4/10,s1,s1,s2,s5,s5,s2,s1,s1,s1,s4,s5_100_125,28,0
99,乾季,,2015/4/11,s1,s1,s2,s6,s2,s2,s1,s1,s1,s4,s5_100_125,22,0
100,乾季,,2015/4/12,s1,s1,s2,s2,s5,s7,s1,s1,s1,s4,s5_100_125,25,0
101,乾季,,2015/4/13,s1,s1,s2,s6,s5,s1,s1,s1,s3,s4,s3_50_75,38,0
102,乾季,,2015/4/14,s1,s1,s2,s6,s4,s1,s1,s1,s4,s4,s2_25_50,37,0
103,乾季,,2015/4/15,s1,s4,s2,s6,s5,s1,s1,s1,s4,s4,s3_50_75,62,0
104,乾季,,2015/4/16,s1,s3,s2,s5,s1,s7,s1,s1,s1,s4,s4_75_100,66,0
105,乾季,,2015/4/17,s1,s1,s2,s4,s1,s7,s1,s1,s1,s4,s5_100_125,58,0
106,乾季,,2015/4/18,s5,s1,s2,s1,s1,s7,s2,s1,s1,s4,s4_75_100,62,0
107,乾季,,2015/4/19,s6,s1,s2,s5,s1,s1,s3,s1,s1,s4,s5_100_125,22,0
108,乾季,,2015/4/20,s6,s1,s2,s5,s3,s2,s5,s2,s1,s4,s4_75_100,16,0
109,乾季,,2015/4/21,s6,s1,s2,s1,s5,s7,s5,s3,s1,s4,s4_75_100,44,0
110,乾季,,2015/4/22,s6,s1,s2,s1,s1,s7,s4,s1,s1,s4,s4_75_100,31,0
111,乾季,,2015/4/23,s4,s1,s2,s6,s1,s1,s1,s4,s1,s4,s6_125_up,38,0
112,乾季,,2015/4/24,s4,s1,s2,s6,s5,s1,s1,s1,s1,s4,s5_100_125,48,0
113,乾季,,2015/4/25,s3,s1,s2,s2,s5,s7,s1,s1,s1,s4,s4_75_100,68,0
114,乾季,,2015/4/26,s1,s1,s2,s5,s4,s1,s1,s1,s4,s4,s5_100_125,48,0
115,乾季,,2015/4/27,s1,s1,s2,s4,s5,s7,s1,s1,s4,s4,s3_50_75,47,0
116,乾季,,2015/4/28,s1,s4,s2,s6,s4,s1,s1,s1,s3,s4,s2_25_50,40,0
117,乾季,,2015/4/29,s1,s5,s2,s6,s1,s1,s1,s1,s4,s4,s3_50_75,35,0
118,乾季,,2015/4/30,s1,s5,s2,s6,s4,s1,s1,s1,s3,s4,s3_50_75,50,0
119,濕季,,2015/5/1,s1,s3,s2,s1,s4,s7,s1,s1,s1,s5,s4_75_100,64,0
120,濕季,,2015/5/2,s3,s1,s2,s1,s1,s7,s1,s4,s1,s5,s4_75_100,46,0
121,濕季,,2015/5/3,s6,s1,s2,s1,s1,s5,s3,s1,s1,s5,s5_100_125,25,0
122,濕季,,2015/5/4,s7,s1,s2,s1,s3,s7,s5,s3,s1,s5,s4_75_100,32,0
123,濕季,,2015/5/5,s7,s1,s2,s1,s4,s7,s6,s3,s1,s5,s3_50_75,38,0
124,濕季,,2015/5/6,s7,s1,s2,s2,s5,s7,s6,s3,s1,s5,s3_50_75,47,0
125,濕季,,2015/5/7,s7,s1,s2,s1,s5,s7,s6,s3,s1,s5,s4_75_100,52,0
126,濕季,,2015/5/8,s7,s1,s2,s1,s4,s7,s6,s3,s1,s5,s3_50_75,65,0
127,濕季,,2015/5/9,s7,s1,s2,s1,s4,s7,s6,s1,s1,s5,s4_75_100,43,0
128,濕季,,2015/5/10,s7,s1,s2,s4,s4,s6,s5,s1,s1,s5,s4_75_100,52,0
129,濕季,,2015/5/11,s4,s1,s2,s5,s5,s3,s1,s1,s1,s5,s3_50_75,40,0
130,濕季,,2015/5/12,s1,s1,s2,s4,s5,s1,s1,s1,s1,s5,s2_25_50,56,0
131,濕季,,2015/5/13,s3,s1,s2,s5,s5,s7,s1,s1,s2,s5,s5_100_125,41,0
132,濕季,,2015/5/14,s1,s1,s2,s6,s5,s1,s1,s1,s2,s5,s3_50_75,32,0
133,濕季,,2015/5/15,s1,s6,s2,s6,s5,s1,s1,s1,s6,s5,s2_25_50,17,0
134,濕季,,2015/5/16,s1,s4,s2,s5,s5,s2,s1,s1,s1,s5,s2_25_50,15,0
135,濕季,,2015/5/17,s1,s3,s2,s1,s5,s7,s1,s1,s1,s5,s4_75_100,21,0
136,濕季,,2015/5/18,s1,s1,s2,s1,s3,s7,s1,s1,s1,s5,s4_75_100,17,0
137,濕季,,2015/5/19,s3,s1,s2,s1,s1,s7,s1,s1,s1,s5,s5_100_125,14,0
138,濕季,,2015/5/20,s5,s1,s2,s1,s4,s7,s4,s3,s1,s5,s5_100_125,13,0
139,濕季,,2015/5/21,s6,s1,s2,s1,s1,s7,s3,s1,s1,s5,s4_75_100,24,0
140,濕季,,2015/5/22,s7,s1,s2,s2,s5,s2,s6,s3,s3,s5,s4_75_100,21,0
141,濕季,,2015/5/23,s7,s3,s2,s1,s5,s1,s6,s3,s4,s5,s2_25_50,17,0
142,濕季,,2015/5/24,s7,s1,s2,s1,s4,s2,s6,s3,s1,s5,s2_25_50,3,0
143,濕季,,2015/5/25,s1,s4,s2,s6,s5,s1,s1,s1,s5,s5,s4_75_100,16,0
144,濕季,,2015/5/26,s4,s3,s2,s3,s5,s7,s1,s1,s1,s5,s3_50_75,45,0
145,濕季,,2015/5/27,s6,s1,s2,s4,s1,s2,s3,s4,s1,s5,s4_75_100,13,0
146,濕季,,2015/5/28,s6,s1,s2,s6,s5,s1,s3,s1,s1,s5,s5_100_125,16,0
147,濕季,,2015/5/29,s6,s1,s2,s2,s5,s7,s4,s1,s1,s5,s5_100_125,13,0
148,濕季,,2015/5/30,s6,s1,s2,s2,s3,s7,s4,s4,s1,s5,s5_100_125,12,0
149,濕季,,2015/5/31,s7,s1,s2,s2,s1,s7,s5,s1,s1,s5,s4_75_100,12,0
150,濕季,,2015/6/1,s7,s1,s2,s1,s1,s7,s6,s3,s1,s5,s3_50_75,18,0
151,濕季,,2015/6/2,s7,s1,s2,s2,s3,s7,s6,s3,s1,s5,s3_50_75,16,0
152,濕季,,2015/6/3,s7,s1,s2,s2,s4,s7,s6,s1,s1,s5,s5_100_125,12,0
153,濕季,,2015/6/4,s7,s1,s4,s2,s1,s1,s6,s1,s1,s5,s4_75_100,15,0
154,濕季,,2015/6/5,s7,s1,s4,s1,s4,s7,s6,s2,s1,s5,s4_75_100,16,0
155,濕季,,2015/6/6,s7,s1,s4,s1,s5,s2,s6,s3,s1,s5,s3_50_75,24,0
156,濕季,,2015/6/7,s6,s6,s4,s5,s1,s2,s6,s2,s6,s5,s3_50_75,22,0
157,濕季,,2015/6/8,s4,s6,s4,s6,s1,s1,s2,s1,s4,s5,s3_50_75,26,0
158,濕季,,2015/6/9,s7,s4,s4,s5,s2,s2,s5,s3,s1,s5,s4_75_100,18,0
159,濕季,,2015/6/10,s7,s3,s4,s5,s1,s2,s6,s1,s1,s5,s4_75_100,16,0
160,濕季,,2015/6/11,s7,s3,s4,s2,s3,s7,s6,s3,s1,s5,s5_100_125,15,0
161,濕季,,2015/6/12,s7,s1,s4,s1,s4,s7,s6,s4,s1,s5,s4_75_100,9,0
162,濕季,,2015/6/13,s7,s1,s4,s5,s5,s7,s6,s1,s1,s5,s4_75_100,11,0
163,濕季,,2015/6/14,s7,s1,s4,s4,s2,s1,s6,s1,s1,s5,s4_75_100,11,0
164,濕季,,2015/6/15,s6,s6,s4,s5,s4,s3,s5,s1,s6,s5,s4_75_100,20,0
165,濕季,,2015/6/16,s7,s4,s4,s1,s1,s7,s6,s3,s1,s5,s4_75_100,12,0
166,濕季,,2015/6/17,s7,s3,s4,s1,s5,s7,s6,s2,s1,s5,s3_50_75,15,0
167,濕季,,2015/6/18,s7,s1,s4,s2,s5,s7,s6,s2,s1,s5,s3_50_75,56,0
168,濕季,,2015/6/19,s7,s1,s4,s1,s4,s7,s6,s3,s1,s5,s2_25_50,42,0
169,濕季,,2015/6/20,s7,s1,s4,s1,s4,s7,s6,s2,s1,s5,s2_25_50,63,0
170,濕季,,2015/6/21,s7,s1,s4,s1,s5,s7,s6,s3,s1,s5,s2_25_50,58,0
171,濕季,,2015/6/22,s7,s1,s4,s1,s4,s2,s6,s2,s1,s5,s2_25_50,33,0
172,濕季,,2015/6/23,s4,s7,s4,s5,s5,s1,s5,s2,s6,s5,s2_25_50,21,0
173,濕季,,2015/6/24,s4,s7,s4,s6,s1,s1,s3,s1,s4,s5,s2_25_50,21,0
174,濕季,,2015/6/25,s5,s7,s4,s6,s1,s1,s5,s1,s5,s5,s3_50_75,28,0
175,濕季,,2015/6/26,s6,s7,s4,s6,s1,s1,s5,s3,s6,s5,s2_25_50,34,0
176,濕季,,2015/6/27,s3,s7,s4,s6,s1,s1,s5,s2,s6,s5,s1_below_25,48,0
177,濕季,,2015/6/28,s5,s7,s4,s6,s1,s1,s5,s1,s4,s5,s2_25_50,50,0
178,濕季,,2015/6/29,s6,s7,s4,s6,s1,s1,s5,s1,s6,s5,s3_50_75,26,0
179,濕季,,2015/6/30,s6,s7,s4,s5,s1,s1,s6,s2,s5,s5,s2_25_50,42,0
180,濕季,,2015/7/1,s7,s7,s4,s5,s5,s2,s6,s2,s6,s5,s2_25_50,27,0
181,濕季,,2015/7/2,s7,s7,s4,s4,s5,s7,s6,s2,s3,s5,s2_25_50,30,0
182,濕季,,2015/7/3,s7,s7,s4,s4,s5,s3,s6,s3,s3,s5,s2_25_50,29,0
183,濕季,,2015/7/4,s6,s7,s4,s6,s2,s1,s6,s2,s6,s5,s2_25_50,46,0
184,濕季,,2015/7/5,s7,s7,s4,s4,s1,s2,s6,s3,s4,s5,s2_25_50,21,0
185,濕季,,2015/7/6,s7,s7,s4,s1,s5,s7,s6,s3,s1,s5,s2_25_50,26,0
186,濕季,,2015/7/7,s7,s7,s4,s1,s5,s7,s6,s3,s1,s5,s2_25_50,24,0
187,濕季,,2015/7/8,s7,s7,s4,s2,s3,s2,s6,s2,s1,s5,s2_25_50,39,0
188,濕季,,2015/7/9,s7,s7,s4,s1,s5,s7,s6,s3,s1,s5,s2_25_50,26,0
189,濕季,,2015/7/10,s7,s7,s4,s5,s1,s1,s6,s2,s5,s5,s2_25_50,11,0
190,濕季,,2015/7/11,s7,s7,s4,s4,s2,s3,s6,s1,s1,s5,s2_25_50,19,0
191,濕季,,2015/7/12,s7,s6,s4,s1,s5,s7,s6,s3,s1,s5,s2_25_50,24,0
192,濕季,,2015/7/13,s7,s6,s4,s1,s5,s7,s6,s3,s1,s5,s3_50_75,26,0
193,濕季,,2015/7/14,s7,s6,s4,s1,s5,s7,s6,s2,s1,s5,s2_25_50,49,0
194,濕季,,2015/7/15,s7,s6,s4,s1,s5,s7,s6,s3,s1,s5,s2_25_50,59,0
195,濕季,,2015/7/16,s7,s5,s4,s1,s4,s7,s6,s2,s1,s5,s2_25_50,53,0
196,濕季,,2015/7/17,s7,s5,s4,s1,s4,s7,s6,s3,s1,s5,s2_25_50,51,0
197,濕季,,2015/7/18,s7,s5,s4,s1,s4,s7,s6,s2,s1,s5,s2_25_50,46,0
198,濕季,,2015/7/19,s7,s4,s4,s1,s3,s7,s6,s2,s1,s5,s2_25_50,7,0
199,濕季,,2015/7/20,s7,s4,s4,s1,s4,s7,s6,s2,s1,s5,s2_25_50,6,0
200,濕季,,2015/7/21,s7,s4,s4,s1,s5,s7,s6,s2,s1,s5,s2_25_50,13,0
201,濕季,,2015/7/22,s7,s3,s4,s1,s5,s3,s6,s2,s1,s5,s4_75_100,5,0
202,濕季,,2015/7/23,s7,s3,s4,s1,s3,s7,s6,s2,s1,s5,s3_50_75,28,0
203,濕季,,2015/7/24,s7,s3,s4,s1,s1,s7,s6,s1,s1,s5,s4_75_100,20,0
204,濕季,,2015/7/25,s7,s1,s4,s1,s2,s7,s6,s1,s1,s5,s3_50_75,20,0
205,濕季,,2015/7/26,s7,s3,s4,s1,s1,s3,s6,s4,s1,s5,s3_50_75,19,0
206,濕季,,2015/7/27,s7,s7,s4,s4,s1,s3,s6,s1,s5,s5,s3_50_75,30,0
207,濕季,,2015/7/28,s7,s6,s4,s1,s4,s7,s6,s1,s1,s5,s3_50_75,20,0
208,濕季,,2015/7/29,s7,s5,s4,s1,s5,s7,s6,s2,s1,s5,s3_50_75,31,0
209,濕季,,2015/7/30,s7,s4,s4,s1,s5,s7,s6,s3,s1,s5,s3_50_75,41,0
210,濕季,,2015/7/31,s7,s3,s4,s1,s5,s7,s6,s2,s1,s5,s4_75_100,30,0
211,濕季,,2015/8/1,s7,s3,s4,s1,s5,s7,s6,s2,s1,s5,s3_50_75,30,0
212,濕季,,2015/8/2,s7,s5,s4,s1,s5,s7,s6,s2,s3,s5,s2_25_50,44,0
213,濕季,,2015/8/3,s7,s4,s4,s1,s5,s7,s6,s3,s1,s5,s3_50_75,40,0
214,濕季,,2015/8/4,s7,s3,s4,s1,s5,s7,s6,s3,s1,s5,s2_25_50,37,0
215,濕季,,2015/8/5,s7,s1,s4,s1,s5,s3,s6,s2,s1,s5,s2_25_50,41,0
216,濕季,,2015/8/6,s7,s1,s4,s1,s4,s2,s6,s2,s1,s5,s2_25_50,56,0
217,濕季,,2015/8/7,s7,s1,s4,s2,s5,s7,s6,s1,s1,s5,s4_75_100,20,0
218,濕季,,2015/8/8,s7,s1,s4,s4,s2,s2,s6,s1,s1,s5,s3_50_75,15,0
219,濕季,,2015/8/9,s7,s1,s4,s4,s1,s2,s6,s4,s1,s5,s3_50_75,39,0
220,濕季,,2015/8/10,s7,s4,s4,s5,s3,s2,s6,s1,s4,s5,s4_75_100,34,0
221,濕季,,2015/8/11,s7,s3,s4,s6,s1,s1,s6,s3,s1,s5,s4_75_100,29,0
222,濕季,,2015/8/12,s7,s3,s4,s4,s5,s4,s6,s1,s1,s5,s4_75_100,25,0
223,濕季,,2015/8/13,s6,s6,s4,s6,s5,s2,s6,s1,s6,s5,s3_50_75,18,0
224,濕季,,2015/8/14,s7,s5,s4,s4,s5,s2,s6,s3,s1,s5,s2_25_50,29,0
225,濕季,,2015/8/15,s7,s6,s4,s2,s4,s3,s6,s3,s5,s5,s3_50_75,24,0
226,濕季,,2015/8/16,s7,s5,s4,s4,s2,s7,s6,s4,s1,s5,s3_50_75,17,0
227,濕季,,2015/8/17,s7,s4,s4,s1,s1,s7,s6,s1,s1,s5,s4_75_100,25,0
228,濕季,,2015/8/18,s7,s3,s4,s3,s1,s7,s6,s1,s1,s5,s4_75_100,50,0
229,濕季,,2015/8/19,s7,s3,s4,s1,s4,s7,s6,s1,s1,s5,s4_75_100,47,0
230,濕季,,2015/8/20,s7,s5,s4,s2,s2,s7,s6,s1,s1,s5,s3_50_75,65,0
231,濕季,,2015/8/21,s7,s3,s4,s1,s1,s7,s6,s4,s1,s5,s3_50_75,152,0
232,濕季,,2015/8/22,s7,s7,s4,s5,s2,s2,s6,s1,s5,s5,s2_25_50,81,0
233,濕季,,2015/8/23,s7,s5,s4,s1,s5,s2,s6,s2,s1,s5,s1_below_25,58,0
234,濕季,,2015/8/24,s7,s4,s4,s1,s5,s7,s6,s3,s1,s5,s2_25_50,35,0
235,濕季,,2015/8/25,s7,s3,s4,s1,s4,s1,s6,s2,s1,s5,s1_below_25,35,0
236,濕季,,2015/8/26,s7,s4,s4,s1,s5,s2,s6,s2,s1,s5,s2_25_50,37,0
237,濕季,,2015/8/27,s7,s3,s4,s1,s5,s7,s6,s3,s1,s5,s2_25_50,26,0
238,濕季,,2015/8/28,s7,s1,s4,s1,s5,s7,s6,s2,s1,s5,s2_25_50,42,0
239,濕季,,2015/8/29,s7,s1,s4,s1,s5,s7,s6,s2,s1,s5,s2_25_50,8,0
240,濕季,,2015/8/30,s7,s1,s4,s1,s4,s7,s6,s2,s1,s5,s2_25_50,6,0
241,濕季,,2015/8/31,s6,s1,s4,s1,s2,s2,s6,s2,s4,s5,s2_25_50,24,0
242,濕季,,2015/9/1,s7,s1,s4,s1,s1,s3,s6,s3,s1,s5,s2_25_50,17,0
243,濕季,,2015/9/2,s7,s1,s4,s1,s2,s7,s6,s2,s1,s5,s2_25_50,30,0
244,濕季,,2015/9/3,s7,s1,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,29,0
245,濕季,,2015/9/4,s7,s1,s4,s1,s1,s7,s6,s4,s1,s5,s2_25_50,22,0
246,濕季,,2015/9/5,s7,s1,s4,s1,s1,s7,s6,s4,s1,s5,s3_50_75,0,0
247,濕季,,2015/9/6,s7,s1,s4,s1,s1,s7,s6,s4,s1,s5,s3_50_75,0,0
248,濕季,,2015/9/7,s7,s1,s4,s1,s2,s7,s6,s1,s1,s5,s3_50_75,18,0
249,濕季,,2015/9/8,s7,s1,s4,s1,s2,s7,s6,s1,s1,s5,s4_75_100,23,0
250,濕季,,2015/9/9,s7,s1,s4,s1,s5,s7,s6,s1,s1,s5,s4_75_100,28,0
251,濕季,,2015/9/10,s7,s1,s4,s2,s5,s2,s6,s1,s1,s5,s2_25_50,27,0
252,濕季,,2015/9/11,s6,s7,s4,s5,s5,s1,s6,s1,s6,s5,s2_25_50,42,0
