資料序,季節,組別,date,Soil temperture,Soil  water content,ndvi,Relative humidity,Wind speed,Insolation,Temperature,Wind direction,Rainfall ,River flat area,PM10MAX,PM2.5,dustday
1716,乾季,,2015/2/10,s1,s1,s2,s1,s1,s2,s1,s1,s1,s4,s3_50_75,29,0
1717,乾季,,2015/2/11,s1,s1,s2,s1,s1,s7,s1,s2,s1,s4,s4_75_100,44,0
1718,乾季,,2015/2/12,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s5_100_125,52,0
1719,乾季,,2015/2/13,s1,s1,s2,s1,s1,s7,s1,s4,s1,s4,s6_125_up,62,0
1720,乾季,,2015/2/14,s1,s1,s2,s1,s1,s7,s1,s4,s1,s4,s6_125_up,78,0
1721,乾季,,2015/2/15,s1,s1,s2,s1,s1,s2,s1,s1,s4,s4,s6_125_up,88,0
1722,乾季,,2015/2/16,s1,s4,s2,s5,s1,s7,s1,s4,s5,s4,s4_75_100,55,0
1723,乾季,,2015/2/17,s1,s3,s2,s3,s1,s7,s1,s1,s1,s4,s5_100_125,55,0
1724,乾季,,2015/2/18,s1,s1,s2,s1,s1,s7,s1,s4,s1,s4,s6_125_up,104,0
1725,乾季,,2015/2/19,s1,s1,s2,s1,s1,s7,s1,s4,s1,s4,s4_75_100,41,0
1726,乾季,,2015/2/20,s1,s1,s2,s5,s1,s2,s1,s2,s1,s4,s4_75_100,43,0
1727,乾季,,2015/2/21,s1,s1,s2,s2,s1,s2,s1,s2,s3,s4,s5_100_125,49,0
1728,乾季,,2015/2/22,s1,s1,s2,s6,s1,s3,s1,s4,s1,s4,s5_100_125,58,0
1729,乾季,,2015/2/23,s1,s1,s2,s6,s1,s1,s1,s4,s1,s4,s5_100_125,61,0
1730,乾季,,2015/2/24,s1,s5,s2,s6,s1,s7,s1,s4,s4,s4,s4_75_100,37,0
1731,乾季,,2015/2/25,s1,s3,s2,s5,s1,s2,s1,s2,s1,s4,s6_125_up,46,0
1732,乾季,,2015/2/26,s1,s2,s2,s6,s1,s2,s1,s2,s1,s4,s5_100_125,65,0
1733,乾季,,2015/2/27,s1,s1,s2,s6,s1,s2,s1,s1,s1,s4,s3_50_75,28,0
1734,乾季,,2015/2/28,s1,s1,s2,s6,s1,s7,s1,s1,s1,s4,s3_50_75,35,0
1735,乾季,,2015/3/1,s1,s1,s2,s2,s1,s7,s1,s1,s1,s4,s3_50_75,33,0
